enzyme_id,enzyme_name,enzyme_score,score_std,supporting_metabolites,reactions,pathways,evidence_counts,selection_frequency
ec:2.4.2.22,xanthine phosphoribosyltransferase,1.510016989877446e-05,1.0374747515952064e-05,guanine; xanthine,R01229: GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate; R02142: Xanthosine 5'-phosphate + Diphosphate <=> Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate,path:map01120; path:map00230; path:map01100,2,6
ec:1.13.11.65,carotenoid isomerooxygenase,1.4721433389803412e-05,9.521984516081024e-06,carotene diol (3); carotene diol (2); carotene diol (1),rn:R10192,path:map00999; path:map01100; path:map01110,3,6
ec:2.4.1.276,zeaxanthin glucosyltransferase,1.4721433389803412e-05,9.521984516081024e-06,carotene diol (3); carotene diol (2); carotene diol (1),rn:R07574,path:map00999; path:map01100; path:map01110,3,6
ec:1.14.15.21,zeaxanthin epoxidase,1.4721433389803412e-05,9.521984516081024e-06,carotene diol (3); carotene diol (2); carotene diol (1),rn:R06946; rn:R10070,path:map00999; path:map01100; path:map01110,3,6
ec:1.23.5.1,violaxanthin de-epoxidase,1.4721433389803412e-05,9.521984516081024e-06,carotene diol (3); carotene diol (2); carotene diol (1),rn:R07179; rn:R10055,path:map00999; path:map01100; path:map01110,3,6
ec:1.13.11.84,crocetin dialdehyde synthase,1.4721433389803412e-05,9.521984516081024e-06,carotene diol (3); carotene diol (2); carotene diol (1),rn:R10843; rn:R09603,path:map00999; path:map01100; path:map01110,3,6
ec:2.8.3.25,bile acid CoA-transferase,1.4084848349159038e-05,8.392778728244584e-06,cholate; lithocholate; deoxycholate,rn:R11539; rn:R07295,path:map01100; path:map00121; path:map04976,3,6
ec:3.1.4.2,glycerophosphocholine phosphodiesterase,1.4003483793937482e-05,9.19124203791668e-06,choline; glycerol 3-phosphate; glycerophosphoethanolamine,rn:R01030; rn:R01470,path:map00565; path:map00670; path:map02010,3,6
ec:3.1.4.46,glycerophosphodiester phosphodiesterase,1.4003483793937482e-05,9.19124203791668e-06,choline; glycerol 3-phosphate; glycerophosphoethanolamine,rn:R01030; rn:R01470; rn:R00857,path:map00565; path:map00670; path:map02010,3,6
ec:2.1.1.156,glycine/sarcosine N-methyltransferase,1.3673222083697552e-05,8.019784255403551e-06,glycine; dimethylglycine; sarcosine,"R07243: S-Adenosyl-L-methionine + Sarcosine <=> S-Adenosyl-L-homocysteine + N,N-Dimethylglycine; rn:R10060; R00367: S-Adenosyl-L-methionine + Glycine <=> S-Adenosyl-L-homocysteine + Sarcosine",path:map02010; path:map00630; path:map01200,3,6
ec:2.1.1.157,sarcosine/dimethylglycine N-methyltransferase,1.3617262707895152e-05,7.901725728470762e-06,dimethylglycine; sarcosine; betaine,"R07243: S-Adenosyl-L-methionine + Sarcosine <=> S-Adenosyl-L-homocysteine + N,N-Dimethylglycine; R07244: S-Adenosyl-L-methionine + N,N-Dimethylglycine <=> S-Adenosyl-L-homocysteine + Betaine; rn:R10061",path:map00670; path:map02010; path:map04981,3,6
ec:1.1.1.85,3-isopropylmalate dehydrogenase,1.3537435852879188e-05,9.654990075448802e-06,alpha-ketobutyrate; 4-methyl-2-oxopentanoate,rn:R00994; rn:R10052; rn:R01652,path:map01230; path:map00640; path:map00280,2,6
ec:3.4.13.5,Xaa-methyl-His dipeptidase,1.3531386995430311e-05,9.161429663388945e-06,1-methylhistidine; 3-methylhistidine,R03288: beta-Alanyl-N(pi)-methyl-L-histidine + H2O <=> beta-Alanine + N(pi)-Methyl-L-histidine,path:map01100; path:map00340,2,6
ec:3.2.2.2,inosine nucleosidase,1.3446986355541e-05,8.551731400836068e-06,inosine; hypoxanthine,R01770: Inosine + H2O <=> Hypoxanthine + D-Ribose,path:map01100; path:map00230; path:map01232,2,6
ec:3.5.3.3,creatinase,1.3443700184250416e-05,7.392398105692845e-06,urea; sarcosine; creatine,rn:R01566,path:map00670; path:map02010; path:map00330,3,6
ec:3.5.1.95,N-malonylurea hydrolase,1.3347875030173294e-05,7.888502500262151e-06,ethylmalonate; urea; malonate,rn:R10778; rn:R07629,path:map02010; path:map00330; path:map01120,3,6
ec:6.3.2.1,pantoate---beta-alanine ligase (AMP-forming),1.296822820865982e-05,7.703163206519534e-06,pantothenate; pantoate; beta-alanine,rn:R02473,path:map00770; path:map01240; path:map04080,3,6
ec:3.5.1.22,pantothenase,1.296822820865982e-05,7.703163206519534e-06,pantothenate; pantoate; beta-alanine,rn:R02474,path:map00770; path:map01240; path:map04080,3,6
ec:3.2.2.7,adenosine nucleosidase,1.294261028402326e-05,8.886070346815617e-06,adenine; adenosine,R01245: Adenosine + H2O <=> Adenine + D-Ribose,path:map04923; path:map00670; path:map02010,2,6
ec:3.2.1.20,alpha-glucosidase,1.2936449112297164e-05,7.428910400345825e-06,maltose; sucrose; glucose,rn:R00801; rn:R00028; rn:R00802,path:map02010; path:map00074; path:map00521,3,6
ec:1.1.1.42,isocitrate dehydrogenase (NADP+),1.2929054264048376e-05,8.725308958467493e-06,alpha-ketoglutarate; isocitrate,rn:R01899; rn:R00268; rn:R00267,path:map00997; path:map00630; path:map00040,2,6
ec:2.1.1.103,phosphoethanolamine N-methyltransferase,1.2692247042221405e-05,8.480320490255247e-06,phosphoethanolamine; choline phosphate,rn:R02037; rn:R06869,path:map05231; path:map00552; path:map00564,2,6
ec:2.3.1.54,formate C-acetyltransferase,1.2609182934699128e-05,9.482897526373594e-06,alpha-ketobutyrate; pyruvate,rn:R06987; rn:R00212,path:map00997; path:map00360; path:map00900,2,6
ec:2.2.1.6,acetolactate synthase,1.2609182934699128e-05,9.482897526373594e-06,alpha-ketobutyrate; pyruvate,rn:R04673; rn:R00006; rn:R08648,path:map00997; path:map00360; path:map00900,2,6
ec:4.1.2.27,sphinganine-1-phosphate aldolase,1.2602739307546698e-05,8.458963417853654e-06,phosphoethanolamine; sphingosine 1-phosphate,rn:R02464; rn:R06516,path:map05152; path:map04666; path:map04080,2,6
ec:2.6.1.28,tryptophan---phenylpyruvate transaminase,1.2476505875879071e-05,8.429781902671633e-06,tryptophan; phenylpyruvate,rn:R01376,path:map00997; path:map00999; path:map00360,2,6
ec:1.2.7.7,3-methyl-2-oxobutanoate dehydrogenase (ferredoxin),1.245232846665124e-05,8.757616075295462e-06,3-methyl-2-oxobutyrate; 4-methyl-2-oxopentanoate,rn:R08566; rn:R07160,path:map00770; path:map01230; path:map01240,2,6
ec:1.2.4.4,3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring),1.245232846665124e-05,8.757616075295462e-06,3-methyl-2-oxobutyrate; 4-methyl-2-oxopentanoate,rn:R01702; rn:R07599; rn:R07601,path:map00770; path:map01230; path:map01240,2,6
ec:1.2.1.25,branched-chain alpha-keto acid dehydrogenase system,1.245232846665124e-05,8.757616075295462e-06,3-methyl-2-oxobutyrate; 4-methyl-2-oxopentanoate,rn:R01651; rn:R01210,path:map00770; path:map01230; path:map01240,2,6
ec:2.6.1.6,leucine transaminase,1.245232846665124e-05,8.757616075295462e-06,3-methyl-2-oxobutyrate; 4-methyl-2-oxopentanoate,R01090: L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate; R01214: L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate,path:map00770; path:map01230; path:map01240,2,6
ec:1.4.1.9,leucine dehydrogenase,1.245232846665124e-05,8.757616075295462e-06,3-methyl-2-oxobutyrate; 4-methyl-2-oxopentanoate,rn:R01434; rn:R01088,path:map00770; path:map01230; path:map01240,2,6
ec:2.7.1.48,uridine/cytidine kinase,1.243474174349888e-05,8.334901620204719e-06,cytidine; uridine,rn:R00964; rn:R00968; rn:R00513,path:map00240; path:map02010; path:map01232,2,6
ec:2.7.1.213,cytidine kinase,1.243474174349888e-05,8.334901620204719e-06,cytidine; uridine,rn:R00964; rn:R00513,path:map00240; path:map02010; path:map01232,2,6
ec:4.2.1.3,aconitate hydratase,1.235187299846822e-05,8.316015832504868e-06,isocitrate; citrate,rn:R01900; rn:R01324; rn:R01325,path:map00630; path:map01200; path:map01070,2,6
ec:4.1.2.5,L-threonine aldolase,1.2350106614276012e-05,7.602907092144867e-06,glycine; threonine,R00751: L-Threonine <=> Glycine + Acetaldehyde,path:map02010; path:map00630; path:map01200,2,6
ec:4.4.1.11,methionine gamma-lyase,1.2336899882009966e-05,9.212705850306954e-06,alpha-ketobutyrate; methionine,rn:R04770; rn:R00654,path:map00999; path:map04981; path:map00470,2,6
ec:1.14.11.48,xanthine dioxygenase,1.2304342921150344e-05,8.60092954809185e-06,xanthine; urate,rn:R10920,path:map01120; path:map00230; path:map00232,2,6
ec:1.1.1.2,alcohol dehydrogenase (NADP+),1.2090053153223687e-05,6.2980956864639e-06,glycerol; glucuronate; gulonate*,rn:R01481; rn:R01041,path:map04923; path:map02010; path:map00040,3,6
ec:1.3.98.1,dihydroorotate dehydrogenase (fumarate),1.2058507159735092e-05,6.573878191740863e-06,orotate; fumarate; dihydroorotate,rn:R01867,path:map00360; path:map01200; path:map00650,3,6
ec:4.1.3.1,isocitrate lyase,1.1950118653796048e-05,7.325814583215758e-06,isocitrate; succinate,rn:R00479,path:map00360; path:map00630; path:map01200,2,6
ec:1.13.11.52,"indoleamine 2,3-dioxygenase",1.176090812164045e-05,8.038578779555188e-06,tryptophan; serotonin,rn:R00678; rn:R02909,path:map00997; path:map00999; path:map04080,2,6
ec:2.4.1.48,heteroglycan alpha-mannosyltransferase,1.16666959714129e-05,7.114008372237865e-06,12-HETE; 15-HETE,rn:R03769; rn:R03768,,2,6
ec:5.3.2.1,phenylpyruvate tautomerase,1.1660182560378991e-05,7.663690408381677e-06,4-hydroxyphenylpyruvate; phenylpyruvate,rn:R03342; rn:R01378,path:map00360; path:map01230; path:map01240,2,6
ec:1.1.1.237,hydroxyphenylpyruvate reductase,1.1660182560378991e-05,7.663690408381677e-06,4-hydroxyphenylpyruvate; phenylpyruvate,rn:R03337; rn:R01370; rn:R03339,path:map00360; path:map01230; path:map01240,2,6
ec:1.4.1.20,phenylalanine dehydrogenase,1.1660182560378991e-05,7.663690408381677e-06,4-hydroxyphenylpyruvate; phenylpyruvate,rn:R09830; rn:R00688,path:map00360; path:map01230; path:map01240,2,6
ec:1.1.1.110,aromatic 2-oxoacid reductase,1.1660182560378991e-05,7.663690408381677e-06,4-hydroxyphenylpyruvate; phenylpyruvate,rn:R03337; rn:R01370,path:map00360; path:map01230; path:map01240,2,6
ec:2.6.1.58,phenylalanine(histidine) transaminase,1.1660182560378991e-05,7.663690408381677e-06,4-hydroxyphenylpyruvate; phenylpyruvate,rn:R09254; rn:R00692,path:map00360; path:map01230; path:map01240,2,6
ec:3.5.4.15,guanosine deaminase,1.1589214412425178e-05,6.290544175130405e-06,guanosine; xanthosine,rn:R02145,path:map02010; path:map00230; path:map01100,2,6
ec:2.6.1.21,D-amino-acid transaminase,1.1511781332882066e-05,7.250527239422445e-06,2-oxoarginine*; phenylpyruvate,rn:R01582; rn:R02924,path:map00360; path:map01230; path:map00330,2,6
ec:1.14.11.3,pyrimidine-deoxynucleoside 2'-dioxygenase,1.148588146502892e-05,8.143661862944832e-06,2'-deoxyuridine; uridine,rn:R01879,path:map00240; path:map02010; path:map01232,2,6
ec:1.14.14.54,phenylacetate 2-hydroxylase,1.1431873255293195e-05,7.602279627351704e-06,phenylacetate; 2-hydroxyphenylacetate,rn:R05487,path:map01100; path:map00360; path:map00643,2,6
ec:3.5.1.135,N4-acetylcytidine amidohydrolase,1.136507391836455e-05,7.0098283748487855e-06,N4-acetylcytidine; cytidine,rn:R12635,path:map00240; path:map02010; path:map01232,2,6
ec:3.5.2.9,5-oxoprolinase (ATP-hydrolysing),1.1332042031972764e-05,7.33520656471018e-06,glutamate; 5-oxoproline,rn:R00251,path:map02010; path:map04720; path:map00630,2,6
ec:3.1.4.13,serine-ethanolaminephosphate phosphodiesterase,1.1250592432298378e-05,7.605633108428522e-06,phosphoethanolamine; serine,rn:R02817,path:map02010; path:map00630; path:map01200,2,6
ec:2.3.1.188,omega-hydroxypalmitate O-feruloyl transferase,1.1248493565180206e-05,7.590225865078337e-06,2-hydroxypalmitate; 16-hydroxypalmitate,rn:R09106,path:map01100; path:map00073,2,6
ec:2.1.1.2,guanidinoacetate N-methyltransferase,1.1218321532274138e-05,7.085702370925085e-06,guanidinoacetate; creatine,rn:R01883,path:map00260; path:map01100; path:map00330,2,6
ec:3.5.4.2,adenine deaminase,1.1198044922109828e-05,7.516365665460929e-06,adenine; hypoxanthine,rn:R01244,path:map00230; path:map01100; path:map00908,2,6
ec:1.3.1.22,3-oxo-5alpha-steroid 4-dehydrogenase (NADP+),1.1135704077855962e-05,7.659688597009839e-06,4-cholesten-3-one; cortisone,rn:R02610; rn:R02892,path:map04960; path:map01120; path:map07225,2,6
ec:2.7.9.2,"pyruvate, water dikinase",1.1090941854287584e-05,7.969625021709882e-06,phosphate; pyruvate,rn:R00199,path:map00997; path:map02010; path:map00360,2,6
ec:2.3.2.2,gamma-glutamyltransferase,1.088760754645354e-05,7.169344391065955e-06,cysteinylglycine; taurine,rn:R01687; rn:R03916,path:map02010; path:map04080; path:map00430,2,6
ec:1.1.3.6,cholesterol oxidase,1.088732667458116e-05,7.14670502857144e-06,4-cholesten-3-one; cholesterol,rn:R01459,path:map00996; path:map04977; path:map05217,2,6
ec:3.1.4.38,glycerophosphocholine cholinephosphodiesterase,1.0860040355054055e-05,6.868055403829214e-06,glycerol; choline phosphate,rn:R02591,path:map04923; path:map02010; path:map00040,2,6
ec:1.14.15.4,steroid 11beta-monooxygenase,1.0839657146238171e-05,7.025413502287162e-06,corticosterone; cortisol,rn:R02843; rn:R03851; rn:R03262,path:map04923; path:map04960; path:map04927,2,6
ec:1.14.14.16,steroid 21-monooxygenase,1.0839657146238171e-05,7.025413502287162e-06,corticosterone; cortisol,rn:R03849; rn:R02838,path:map04923; path:map04960; path:map04927,2,6
ec:2.5.1.6,methionine adenosyltransferase,1.0818658801598424e-05,7.65679711451689e-06,methionine; phosphate,rn:R00177,path:map00999; path:map02010; path:map04981,2,6
ec:2.6.1.73,methionine---glyoxylate transaminase,1.0818021738203074e-05,7.3433130099262175e-06,glycine; methionine,rn:R00652,path:map00999; path:map02010; path:map00630,2,6
ec:2.3.1.299,sphingoid base N-stearoyltransferase,1.0770064710739304e-05,6.845493942131742e-06,sphinganine; sphingosine,rn:R01496; rn:R06517,path:map04217; path:map04382; path:map01100,2,6
ec:2.3.1.24,sphingosine N-acyltransferase,1.0770064710739304e-05,6.845493942131742e-06,sphinganine; sphingosine,rn:R01496; rn:R06517,path:map04217; path:map04382; path:map01100,2,6
ec:2.3.1.291,sphingoid base N-palmitoyltransferase,1.0770064710739304e-05,6.845493942131742e-06,sphinganine; sphingosine,rn:R01496; rn:R06517,path:map04217; path:map04382; path:map01100,2,6
ec:2.3.1.297,very-long-chain ceramide synthase,1.0770064710739304e-05,6.845493942131742e-06,sphinganine; sphingosine,rn:R01496; rn:R06517,path:map04217; path:map04382; path:map01100,2,6
ec:2.3.1.298,ultra-long-chain ceramide synthase,1.0770064710739304e-05,6.845493942131742e-06,sphinganine; sphingosine,rn:R01496; rn:R06517,path:map04217; path:map04382; path:map01100,2,6
ec:3.5.1.23,ceramidase,1.0770064710739304e-05,6.845493942131742e-06,sphinganine; sphingosine,rn:R01494; rn:R06518; rn:R01493,path:map04217; path:map04382; path:map01100,2,6
ec:1.2.1.29,aryl-aldehyde dehydrogenase,1.0638659516276012e-05,6.809560097580175e-06,gentisate; 4-hydroxyphenylacetate,R02695: 4-Hydroxyphenylacetaldehyde + NAD+ + H2O <=> 4-Hydroxyphenylacetate + NADH + H+; rn:R02655,path:map00360; path:map00362; path:map01120,2,6
ec:1.2.1.39,phenylacetaldehyde dehydrogenase,1.0595869637647976e-05,7.051070489183243e-06,phenylacetate; 4-hydroxyphenylacetate,R02695: 4-Hydroxyphenylacetaldehyde + NAD+ + H2O <=> 4-Hydroxyphenylacetate + NADH + H+; R02536: Phenylacetaldehyde + NAD+ + H2O <=> Phenylacetic acid + NADH + H+,path:map00360; path:map01120; path:map01220,2,6
ec:2.8.2.34,glycochenodeoxycholate sulfotransferase,1.0580774956270198e-05,6.1723633926071445e-06,glycochenodeoxycholate 3-sulfate; glycochenodeoxycholate,rn:R07289,path:map04979; path:map00121; path:map04976,2,6
ec:2.6.1.64,glutamine---phenylpyruvate transaminase,1.0489126746305294e-05,6.400952875262028e-06,alpha-ketoglutaramate*; phenylpyruvate,rn:R01375,path:map00360; path:map01230; path:map00470,2,6
ec:1.14.14.57,taurochenodeoxycholate 6alpha-hydroxylase,1.0486658205603329e-05,6.692007192472746e-06,taurochenodeoxycholate; lithocholate,rn:R07206; rn:R07205,path:map04979; path:map00121; path:map04976,2,6
ec:2.6.1.4,glycine transaminase,1.0483633514149878e-05,6.802116912866039e-06,glycine; alpha-ketoglutarate,rn:R00372,path:map00997; path:map02010; path:map00630,2,6
ec:2.6.1.44,alanine---glyoxylate transaminase,1.0483633514149878e-05,6.802116912866039e-06,glycine; alpha-ketoglutarate,rn:R00369; rn:R00372,path:map00997; path:map02010; path:map00630,2,6
ec:3.1.1.76,poly(3-hydroxyoctanoate) depolymerase,1.048321969283483e-05,6.79251053997392e-06,8-hydroxyoctanoate; 2-hydroxyoctanoate,rn:R05796,,2,6
ec:1.4.7.1,glutamate synthase (ferredoxin),1.0465031279805917e-05,6.892536850538628e-06,glutamate; alpha-ketoglutarate,rn:R00021; rn:R00256,path:map00997; path:map02010; path:map04720,2,6
ec:1.4.1.4,glutamate dehydrogenase (NADP+),1.0465031279805917e-05,6.892536850538628e-06,glutamate; alpha-ketoglutarate,rn:R00248,path:map00997; path:map02010; path:map04720,2,6
ec:2.6.1.2,alanine transaminase,1.0465031279805917e-05,6.892536850538628e-06,glutamate; alpha-ketoglutarate,rn:R00258,path:map00997; path:map02010; path:map04720,2,6
ec:1.4.1.13,glutamate synthase (NADPH),1.0465031279805917e-05,6.892536850538628e-06,glutamate; alpha-ketoglutarate,rn:R00248; rn:R00256; rn:R00114,path:map00997; path:map02010; path:map04720,2,6
ec:1.4.1.2,glutamate dehydrogenase,1.0465031279805917e-05,6.892536850538628e-06,glutamate; alpha-ketoglutarate,rn:R00243,path:map00997; path:map02010; path:map04720,2,6
ec:1.4.1.3,glutamate dehydrogenase [NAD(P)+],1.0465031279805917e-05,6.892536850538628e-06,glutamate; alpha-ketoglutarate,rn:R00248; rn:R00243,path:map00997; path:map02010; path:map04720,2,6
ec:1.4.3.11,L-glutamate oxidase,1.0465031279805917e-05,6.892536850538628e-06,glutamate; alpha-ketoglutarate,rn:R00250,path:map00997; path:map02010; path:map04720,2,6
ec:1.4.1.14,glutamate synthase (NADH),1.0465031279805917e-05,6.892536850538628e-06,glutamate; alpha-ketoglutarate,rn:R00093; rn:R00243; rn:R00256,path:map00997; path:map02010; path:map04720,2,6
ec:4.2.1.20,tryptophan synthase,1.0425183852190792e-05,7.12812284818312e-06,tryptophan; serine,rn:R00674; rn:R02722,path:map00997; path:map00999; path:map02010,2,6
ec:4.2.1.122,tryptophan synthase (indole-salvaging),1.0425183852190792e-05,7.12812284818312e-06,tryptophan; serine,rn:R00674,path:map00997; path:map00999; path:map02010,2,6
ec:1.4.3.3,D-amino-acid oxidase,1.0385550989110406e-05,6.422493970712186e-06,glycine; 2-oxoarginine*,rn:R00366; rn:R02923,path:map02010; path:map00630; path:map01200,2,6
ec:3.5.2.10,creatininase,1.028122299058366e-05,6.596250527117377e-06,creatinine; creatine,rn:R01884,path:map01100; path:map00260; path:map00330,2,6
ec:2.1.1.1,nicotinamide N-methyltransferase,1.026202529200468e-05,6.74715094246593e-06,1-methylnicotinamide; nicotinamide,rn:R01269,path:map01240; path:map04977; path:map01100,2,6
ec:2.7.1.32,choline kinase,1.0210093676700352e-05,6.3499197001018674e-06,choline; choline phosphate,rn:R01021,path:map00670; path:map02010; path:map04981,2,6
ec:2.5.1.49,O-acetylhomoserine aminocarboxypropyltransferase,1.019190397705248e-05,6.914617263688168e-06,O-acetylhomoserine; methionine,rn:R00651; rn:R01287,path:map00999; path:map04981; path:map00470,2,6
ec:2.7.1.30,glycerol kinase,1.0100871363266418e-05,6.916606346069182e-06,glycerol; glycerol 3-phosphate,rn:R00847,path:map04923; path:map02010; path:map00040,2,6
ec:2.7.1.142,glycerol-3-phosphate---glucose phosphotransferase,1.0100871363266418e-05,6.916606346069182e-06,glycerol; glycerol 3-phosphate,rn:R00850,path:map04923; path:map02010; path:map00040,2,6
ec:3.1.3.21,glycerol-1-phosphatase,1.0100871363266418e-05,6.916606346069182e-06,glycerol; glycerol 3-phosphate,rn:R00841; rn:R07298,path:map04923; path:map02010; path:map00040,2,6
ec:1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating),1.0099245374670724e-05,6.723326131373398e-06,malate; pyruvate,rn:R00214,path:map00997; path:map00360; path:map00900,2,6
ec:1.1.1.39,malate dehydrogenase (decarboxylating),1.0099245374670724e-05,6.723326131373398e-06,malate; pyruvate,rn:R00214,path:map00997; path:map00360; path:map00900,2,6
ec:5.2.1.1,maleate isomerase,9.995867298162082e-06,5.923408023113313e-06,maleate; fumarate,rn:R01087,path:map00360; path:map01200; path:map00650,2,6
ec:4.3.1.3,histidine ammonia-lyase,9.941458507282877e-06,6.188082598395315e-06,imidazole propionate; trans-urocanate,rn:R01168,path:map02010; path:map01230; path:map00340,2,6
ec:1.14.13.251,glycine betaine monooxygenase,9.920772944897455e-06,6.133604616436438e-06,dimethylglycine; betaine,rn:R13016,path:map00670; path:map02010; path:map04981,2,6
ec:2.1.1.376,glycine betaine---corrinoid protein Co-methyltransferase,9.920772944897455e-06,6.133604616436438e-06,dimethylglycine; betaine,rn:R12787,path:map00670; path:map02010; path:map04981,2,6
ec:2.1.1.161,dimethylglycine N-methyltransferase,9.920772944897455e-06,6.133604616436438e-06,dimethylglycine; betaine,"R07244: S-Adenosyl-L-methionine + N,N-Dimethylglycine <=> S-Adenosyl-L-homocysteine + Betaine",path:map00670; path:map02010; path:map04981,2,6
ec:2.6.1.45,serine---glyoxylate transaminase,9.856136918591652e-06,6.303993290450846e-06,glycine; serine,rn:R00588,path:map02010; path:map00630; path:map01200,2,6
ec:3.5.1.21,N-acetyl-beta-alanine deacetylase,9.848684507881505e-06,5.633893971781089e-06,beta-alanine; N-acetyl-beta-alanine,rn:R00909,path:map00770; path:map01240; path:map04080,2,6
ec:3.5.3.24,N1-aminopropylagmatine ureohydrolase,9.812077301349726e-06,6.0732911986119165e-06,urea; spermidine,rn:R10347,path:map02010; path:map00330; path:map01120,2,6
ec:1.1.99.2,L-2-hydroxyglutarate dehydrogenase,9.759212461525226e-06,6.483888887620404e-06,alpha-ketoglutarate; 2-hydroxyglutarate,rn:R03534; rn:R00298,path:map00997; path:map00630; path:map00040,2,6
ec:1.2.3.13,4-hydroxyphenylpyruvate oxidase,9.738886160748569e-06,6.3596287905984445e-06,4-hydroxyphenylpyruvate; 4-hydroxyphenylacetate,rn:R00042,path:map00360; path:map01063; path:map00130,2,6
ec:6.3.1.17,beta-citrylglutamate synthase,9.695521495385864e-06,6.143043705816181e-06,citrate; beta-citrylglutamate,rn:R10677,path:map00630; path:map01200; path:map01070,2,6
ec:1.8.4.4,glutathione---cystine transhydrogenase,9.678758643839726e-06,5.4218889786025735e-06,cystine; cysteine,rn:R01109,,2,6
ec:1.1.3.17,choline oxidase,9.63757137089154e-06,5.908714976821865e-06,choline; betaine,rn:R08212; rn:R01022; rn:R08211,path:map00670; path:map02010; path:map04981,2,6
ec:2.4.1.17,glucuronosyltransferase,9.596963200131885e-06,5.752564002682052e-06,androsterone glucuronide; glucuronate,rn:R02478; rn:R08615,path:map00040; path:map01240; path:map01100,2,6
ec:3.4.13.4,Xaa-Arg dipeptidase,9.544836006222416e-06,5.51985273065008e-06,arginine; beta-alanine,rn:R03935; rn:R00911,path:map00770; path:map01240; path:map04080,2,6
ec:3.7.1.2,fumarylacetoacetase,9.536483320792911e-06,5.747292324163511e-06,fumarate; acetoacetate,rn:R01364,path:map00360; path:map01200; path:map00650,2,6
ec:4.2.1.22,cystathionine beta-synthase,9.501555404393494e-06,5.536369016604808e-06,cystathionine; serine,rn:R00891; rn:R01290; rn:R01289,path:map02010; path:map00630; path:map01200,2,6
ec:2.6.1.103,"(S)-3,5-dihydroxyphenylglycine transaminase",9.403959518458936e-06,5.918867836882432e-06,tyrosine; 4-hydroxyphenylpyruvate,rn:R06626,path:map00997; path:map00999; path:map00360,2,6
ec:6.3.2.44,pantoate---beta-alanine ligase (ADP-forming),9.386796467970396e-06,5.664571520397685e-06,pantothenate; pantoate,rn:R10821,path:map00770; path:map01240; path:map04977,2,6
ec:1.14.14.18,heme oxygenase (biliverdin-producing),9.361949628844607e-06,6.075606681001536e-06,biliverdin; heme,rn:R00311,path:map02010; path:map00860; path:map01240,2,6
ec:1.14.15.20,"heme oxygenase (biliverdin-producing, ferredoxin)",9.361949628844607e-06,6.075606681001536e-06,biliverdin; heme,rn:R11579,path:map02010; path:map00860; path:map01240,2,6
ec:3.2.2.10,pyrimidine-5'-nucleotide nucleosidase,9.352302654405162e-06,5.957386908473698e-06,cytosine; uracil,rn:R00510; rn:R12955,path:map00770; path:map00240; path:map01100,2,6
ec:3.5.4.1,cytosine deaminase,9.352302654405162e-06,5.957386908473698e-06,cytosine; uracil,rn:R00974,path:map00770; path:map00240; path:map01100,2,6
ec:2.8.3.5,3-oxoacid CoA-transferase,9.276398268749832e-06,5.372926039015322e-06,acetoacetate; succinate,rn:R00410,path:map00360; path:map00630; path:map01200,2,6
ec:3.1.6.1,arylsulfatase (type I),9.18663984824488e-06,5.675546956811498e-06,phenol sulfate; estrone 3-sulfate,rn:R01243; rn:R03980,path:map01100; path:map04976; path:map00140,2,6
ec:1.4.3.22,diamine oxidase,9.147404840243108e-06,5.812849525428991e-06,1-methylhistamine,R04674: N-Methylhistamine + H2O + Oxygen <=> Methylimidazole acetaldehyde + Ammonia + Hydrogen peroxide,path:map01100; path:map00340,1,6
ec:2.1.1.8,histamine N-methyltransferase,9.147404840243108e-06,5.812849525428991e-06,1-methylhistamine,rn:R02155,path:map01100; path:map00340,1,6
ec:3.5.3.7,guanidinobutyrase,9.117423776797448e-06,5.51663806032565e-06,urea; 4-guanidinobutanoate,rn:R01990,path:map02010; path:map00330; path:map01120,2,6
ec:1.11.1.8,iodide peroxidase,9.091353510820577e-06,5.539438131053284e-06,tyrosine; thyroxine,rn:R03208; rn:R03539,path:map00997; path:map00999; path:map00360,2,6
ec:1.5.8.3,sarcosine dehydrogenase,9.08710406225183e-06,5.195289140460035e-06,glycine; sarcosine,rn:R00611,path:map02010; path:map00630; path:map01200,2,6
ec:1.4.3.19,glycine oxidase,9.08710406225183e-06,5.195289140460035e-06,glycine; sarcosine,rn:R05862; rn:R00366,path:map02010; path:map00630; path:map01200,2,6
ec:2.1.1.20,glycine N-methyltransferase,9.08710406225183e-06,5.195289140460035e-06,glycine; sarcosine,R00367: S-Adenosyl-L-methionine + Glycine <=> S-Adenosyl-L-homocysteine + Sarcosine,path:map02010; path:map00630; path:map01200,2,6
ec:1.5.3.1,sarcosine oxidase (formaldehyde-forming),9.08710406225183e-06,5.195289140460035e-06,glycine; sarcosine,rn:R00610,path:map02010; path:map00630; path:map01200,2,6
ec:3.5.1.3,omega-amidase,9.065301318175244e-06,5.597647449372978e-06,alpha-ketoglutarate; alpha-ketoglutaramate*,rn:R00269,path:map00997; path:map00630; path:map00040,2,6
