enzyme_id,enzyme_name,enzyme_score,score_std,supporting_metabolites,reactions,pathways,evidence_counts,selection_frequency
ec:1.4.3.2,L-amino-acid oxidase,2.7307872833286954e-05,1.831360732889957e-05,tryptophan; methionine; 4-hydroxyphenylpyruvate; tyrosine; phenylpyruvate,R00648: L-Methionine + H2O + Oxygen <=> 4-Methylthio-2-oxobutanoic acid + Ammonia + Hydrogen peroxide; R00677: L-Tryptophan + H2O + Oxygen <=> Indolepyruvate + Ammonia + Hydrogen peroxide; R00729: L-Tyrosine + H2O + Oxygen <=> 3-(4-Hydroxyphenyl)pyruvate + Ammonia + Hydrogen peroxide,path:map00997; path:map00999; path:map00360,5,6
ec:2.3.1.65,bile acid-CoA:amino acid N-acyltransferase,2.719676196908997e-05,1.7629987449412158e-05,taurocholate; glycochenodeoxycholate; glycocholate; taurochenodeoxycholate; taurine,R03718: Choloyl-CoA + Glycine <=> CoA + Glycocholate; R08744: Chenodeoxycholoyl-CoA + Glycine <=> Glycochenodeoxycholate + CoA; R03720: Choloyl-CoA + Taurine <=> CoA + Taurocholate,path:map02010; path:map04080; path:map00430,5,6
ec:2.4.2.2,pyrimidine-nucleoside phosphorylase,2.6823582764968376e-05,1.785282082687913e-05,uracil; cytosine; 2'-deoxyuridine; uridine; cytidine,R02296: Cytidine + Orthophosphate <=> Cytosine + alpha-D-Ribose 1-phosphate; R01876: Uridine + Orthophosphate <=> Uracil + alpha-D-Ribose 1-phosphate; R02484: Deoxyuridine + Orthophosphate <=> Uracil + 2-Deoxy-D-ribose 1-phosphate,path:map00770; path:map02010; path:map00240,5,6
ec:4.1.1.15,glutamate decarboxylase,2.607912277471741e-05,1.669518100533039e-05,taurine; glutamate; hypotaurine; cysteine sulfinic acid; beta-alanine,R00489: L-Aspartate <=> beta-Alanine + CO2; R01682: L-Cysteate <=> Taurine + CO2; R02466: 3-Sulfino-L-alanine <=> Hypotaurine + CO2,path:map02010; path:map04720; path:map00630,5,6
ec:1.17.1.4,xanthine dehydrogenase,2.350238784326017e-05,1.6079547524724943e-05,adenine; xanthine; urate; hypoxanthine,R01768: Hypoxanthine + NAD+ + H2O <=> Xanthine + NADH + H+; R02103: Xanthine + NAD+ + H2O <=> Urate + NADH + H+; R12987: Adenine + NAD+ + H2O <=> 8-Hydroxyadenine + NADH + H+,path:map01120; path:map00230; path:map01100,4,6
ec:2.4.2.4,thymidine phosphorylase,2.269838451855204e-05,1.4950726564761893e-05,guanine; 2'-deoxyuridine; uracil; hypoxanthine,R02748: Deoxyinosine + Orthophosphate <=> Hypoxanthine + 2-Deoxy-D-ribose 1-phosphate; R02484: Deoxyuridine + Orthophosphate <=> Uracil + 2-Deoxy-D-ribose 1-phosphate; R01969: Deoxyguanosine + Orthophosphate <=> Guanine + 2-Deoxy-D-ribose 1-phosphate,path:map00770; path:map02010; path:map00230,4,6
ec:3.4.13.20,beta-Ala-His dipeptidase,2.230774355517804e-05,1.4379402199919885e-05,1-methylhistidine; imidazole propionate; 3-methylhistidine; beta-alanine,R03288: beta-Alanyl-N(pi)-methyl-L-histidine + H2O <=> beta-Alanine + N(pi)-Methyl-L-histidine; R01166: Carnosine + H2O <=> beta-Alanine + L-Histidine; R01992: Homocarnosine + H2O <=> 4-Aminobutanoate + L-Histidine,path:map02010; path:map00470; path:map00640,4,6
ec:6.3.2.11,carnosine synthase,2.230774355517804e-05,1.4379402199919885e-05,1-methylhistidine; imidazole propionate; 3-methylhistidine; beta-alanine,R00910: ATP + L-Lysine + beta-Alanine <=> ADP + Orthophosphate + beta-Alanyl-L-lysine; R03286: ATP + N(pi)-Methyl-L-histidine + beta-Alanine <=> ADP + Orthophosphate + beta-Alanyl-N(pi)-methyl-L-histidine; R01164: ATP + L-Histidine + beta-Alanine <=> ADP + Orthophosphate + Carnosine,path:map02010; path:map00470; path:map00640,4,6
ec:1.3.1.3,Delta4-3-oxosteroid 5beta-reductase,2.1975361224094136e-05,1.4653567311651148e-05,4-cholesten-3-one; cortisol; corticosterone; cortisone,"R02609: 5beta-Cholestan-3-one + NADP+ <=> Cholest-4-en-3-one + NADPH + H+; R02841: Dihydrocortisol + NADP+ <=> Cortisol + NADPH + H+; R02893: 17alpha,21-Dihydroxy-5beta-pregnane-3,11,20-trione + NADP+ <=> Cortisone + NADPH + H+",path:map04923; path:map04960; path:map01120,4,6
ec:3.2.2.8,ribosylpyrimidine nucleosidase,2.1787044397904044e-05,1.4259756854094142e-05,cytidine; uridine; uracil; cytosine,R01080: Uridine + H2O <=> Uracil + D-Ribose; R02137: Cytidine + H2O <=> Cytosine + D-Ribose,path:map00770; path:map02010; path:map00240,4,6
ec:2.1.4.1,glycine amidinotransferase,2.1227787195711087e-05,1.393185163244276e-05,glycine; 4-guanidinobutanoate; guanidinoacetate; taurine,R01989: L-Arginine + 4-Aminobutanoate <=> L-Ornithine + 4-Guanidinobutanoate; R01686: Taurine + L-Arginine <=> Taurocyamine + L-Ornithine; R00565: L-Arginine + Glycine <=> L-Ornithine + Guanidinoacetate,path:map02010; path:map00630; path:map01200,4,6
ec:2.5.1.48,cystathionine gamma-synthase,2.082410537086396e-05,1.2469539578922176e-05,cystathionine; alpha-ketobutyrate; O-acetylhomoserine; succinate,R03217: O-Acetyl-L-homoserine + L-Cysteine <=> L-Cystathionine + Acetate; R00999: O-Succinyl-L-homoserine + H2O <=> 2-Oxobutanoate + Succinate + Ammonia; R01288: O-Succinyl-L-homoserine + Hydrogen sulfide <=> L-Homocysteine + Succinate,path:map00360; path:map00630; path:map01200,4,6
ec:1.14.99.64,zeaxanthin 4-ketolase,2.042754578756876e-05,1.3379960241241182e-05,carotene diol (3); carotene diol (2); carotene diol (1); beta-cryptoxanthin,R07571: Zeaxanthin + 2 Reduced acceptor + 2 Oxygen <=> Adonixanthin + 2 Acceptor + 3 H2O; R07565: beta-Cryptoxanthin + 2 Reduced acceptor + 2 Oxygen <=> 3-Hydroxyechinenone + 2 Acceptor + 3 H2O,path:map00999; path:map01100; path:map01110,4,6
ec:1.14.15.24,beta-carotene 3-hydroxylase,2.042754578756876e-05,1.3379960241241182e-05,carotene diol (3); carotene diol (2); carotene diol (1); beta-cryptoxanthin,R07558: beta-Carotene + 2 Reduced ferredoxin + H+ + Oxygen <=> beta-Cryptoxanthin + 2 Oxidized ferredoxin + H2O; R09747: beta-Carotene + 4 Reduced ferredoxin + 2 H+ + 2 Oxygen <=> Zeaxanthin + 4 Oxidized ferredoxin + 2 H2O; R07559: beta-Cryptoxanthin + 2 Reduced ferredoxin + H+ + Oxygen <=> Zeaxanthin + 2 Oxidized ferredoxin + H2O,path:map00999; path:map01100; path:map01110,4,6
ec:2.4.2.8,hypoxanthine phosphoribosyltransferase,2.031088598786125e-05,1.38037874956121e-05,guanine; xanthine; hypoxanthine,R01229: GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate; R02142: Xanthosine 5'-phosphate + Diphosphate <=> Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate; R01132: IMP + Diphosphate <=> Hypoxanthine + 5-Phospho-alpha-D-ribose 1-diphosphate,path:map01120; path:map00230; path:map01100,3,6
ec:1.4.3.4,monoamine oxidase,2.00647287688744e-05,1.2492764506592549e-05,1-methylhistamine; serotonin; N-acetylputrescine,R04674: N-Methylhistamine + H2O + Oxygen <=> Methylimidazole acetaldehyde + Ammonia + Hydrogen peroxide; R02908: Serotonin + H2O + Oxygen <=> 5-Hydroxyindoleacetaldehyde + Ammonia + Hydrogen peroxide; R04025: N-Acetylputrescine + H2O + Oxygen <=> N4-Acetylaminobutanal + Ammonia + Hydrogen peroxide,path:map00380; path:map05207; path:map00340,3,6
