enzyme_id,real_score,n_null,p_value,q_value,significant_fdr
ec:6.3.4.6,0.0007686811470827476,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.1.106,0.0007802469390262389,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.1.107,0.0007629390109907988,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.1.380,0.0007976620482957619,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.1.45,0.0007976620482957619,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.1.442,0.0007806742297109749,200,0.004975124378109453,0.03814262023217247,True
ec:6.3.2.20,0.0008074742673855961,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.1.40,0.0007676856214213675,200,0.004975124378109453,0.03814262023217247,True
ec:4.3.2.3,0.0007686811470827476,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.3.12,0.0007629390109907988,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.5.4,0.0007676856214213675,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.11.2,0.00076144087705415,200,0.004975124378109453,0.03814262023217247,True
ec:4.1.3.3,0.000778145876729762,200,0.004975124378109453,0.03814262023217247,True
ec:4.1.3.30,0.00076144087705415,200,0.004975124378109453,0.03814262023217247,True
ec:4.2.1.11,0.000810136173740586,200,0.004975124378109453,0.03814262023217247,True
ec:1.1.99.7,0.0007676856214213675,200,0.004975124378109453,0.03814262023217247,True
ec:4.2.1.186,0.0007844278082689738,200,0.004975124378109453,0.03814262023217247,True
ec:4.2.1.69,0.0007686811470827476,200,0.004975124378109453,0.03814262023217247,True
ec:4.2.1.176,0.0007718115756255427,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.13.235,0.0008074742673855961,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.13.179,0.0008058452547605778,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.13.178,0.0008058452547605778,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.13.168,0.0008074742673855961,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.13.128,0.0008058452547605778,200,0.004975124378109453,0.03814262023217247,True
ec:2.6.1.31,0.0007629390109907988,200,0.004975124378109453,0.03814262023217247,True
ec:2.6.1.30,0.0007629390109907988,200,0.004975124378109453,0.03814262023217247,True
ec:2.6.1.50,0.0008052703912157501,200,0.004975124378109453,0.03814262023217247,True
ec:2.6.1.38,0.0007965668486090998,200,0.004975124378109453,0.03814262023217247,True
ec:2.6.1.54,0.0007629390109907988,200,0.004975124378109453,0.03814262023217247,True
ec:2.4.1.121,0.0008074742673855961,200,0.004975124378109453,0.03814262023217247,True
ec:2.3.3.9,0.0007676856214213675,200,0.004975124378109453,0.03814262023217247,True
ec:2.3.1.92,0.0007676856214213675,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.14.139,0.001568651177540279,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.11.48,0.0015570875951195155,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.11.6,0.00076144087705415,200,0.004975124378109453,0.03814262023217247,True
ec:1.14.11.57,0.00076144087705415,200,0.004975124378109453,0.03814262023217247,True
ec:3.1.1.17,0.0007976620482957619,200,0.004975124378109453,0.03814262023217247,True
ec:2.8.3.22,0.0015291264984755176,200,0.004975124378109453,0.03814262023217247,True
ec:2.8.3.13,0.0008078146760187381,200,0.004975124378109453,0.03814262023217247,True
ec:3.5.1.74,0.002282870160695512,200,0.004975124378109453,0.03814262023217247,True
