enzyme_id,sparse_score
ec:3.5.1.24,0.007431560402014608
ec:2.4.2.1,0.006617961970765286
ec:1.2.1.3,0.006028677181200829
ec:3.2.2.1,0.005889261245882602
ec:2.8.2.14,0.005862201718499305
ec:3.1.3.5,0.005844434216197048
ec:1.2.3.1,0.0051839296156589686
ec:2.6.1.1,0.004347977843527945
ec:1.17.3.2,0.003803937534850987
ec:2.4.2.2,0.003736541949017321
ec:4.1.1.15,0.0037274127050317563
ec:2.3.1.65,0.0036948716424871427
ec:3.1.6.2,0.0035361469464732596
ec:2.8.2.2,0.0035361469464732596
ec:1.4.3.2,0.003503951545023712
ec:2.3.1.14,0.0030825056875016946
ec:1.17.1.4,0.0030622795097112678
ec:1.3.1.3,0.003046497121447014
ec:2.1.1.162,0.00301495512496862
ec:3.2.2.8,0.003006323049439211
ec:3.2.1.22,0.003001948607915849
ec:1.2.1.5,0.002993904265432069
ec:2.5.1.48,0.002961955949353076
ec:6.3.2.11,0.002953486467561952
ec:3.4.13.20,0.002953486467561952
ec:2.1.4.1,0.0029455585320387325
ec:2.4.2.4,0.002940023218903185
ec:3.1.3.6,0.0029234078534916873
ec:1.14.15.24,0.0027768287553195936
ec:1.14.99.64,0.0027768287553195936
ec:3.5.5.1,0.0023306484408439293
ec:2.4.2.8,0.0023039842177505557
ec:1.1.1.146,0.0022998823744786044
ec:3.5.1.74,0.002282870160695512
ec:1.1.1.2,0.0022817262481393506
ec:3.5.1.22,0.002273650675150112
ec:6.3.2.1,0.002273650675150112
ec:3.5.1.4,0.002272949222750515
ec:5.3.3.1,0.00226363784173353
ec:1.1.1.145,0.00226363784173353
ec:2.7.1.91,0.002262985179730545
ec:3.1.3.4,0.002262985179730545
ec:2.1.1.157,0.002262773272287633
ec:2.1.1.156,0.0022616451494202063
ec:2.8.3.25,0.0022579007642857217
ec:4.1.2.48,0.0022569279734503053
ec:1.1.1.98,0.0022497291158213744
ec:2.1.1.5,0.0022486186691357706
ec:3.5.3.2,0.002244203351441943
ec:3.5.4.5,0.0022402669704114685
ec:3.5.1.95,0.002239198440051768
ec:4.1.1.29,0.002237298496008275
