k,auc_remove_top,auc_remove_random_mean,auc_remove_random_std,auc_delta_vs_baseline
0,0.8375,,,0.0
10,0.8583333333333334,0.7658333333333334,0.04642796092394709,0.02083333333333337
30,0.8166666666666668,0.7491666666666668,0.0669991708074726,-0.02083333333333326
50,0.8166666666666668,0.7658333333333334,0.04642796092394709,-0.02083333333333326
100,0.8166666666666668,0.745,0.06182412330330471,-0.02083333333333326
200,0.8375,0.7658333333333334,0.04373213921133978,0.0
