enzyme_id,real_score,n_null,p_value,q_value,significant_fdr
ec:1.4.3.19,0.0015748715242302346,200,0.024875621890547265,0.8516909125259778,False
ec:1.5.3.1,0.0015748715242302346,200,0.024875621890547265,0.8516909125259778,False
ec:1.5.8.3,0.0015748715242302346,200,0.024875621890547265,0.8516909125259778,False
ec:2.1.1.20,0.0015748715242302346,200,0.024875621890547265,0.8516909125259778,False
ec:1.4.3.3,0.0016491253102072071,200,0.03980099502487562,0.8516909125259778,False
ec:4.1.2.5,0.0016391611591175005,200,0.04477611940298507,0.8516909125259778,False
ec:3.5.1.59,0.0007455499382128354,200,0.04975124378109453,0.8516909125259778,False
ec:1.5.3.24,0.0007455499382128354,200,0.04975124378109453,0.8516909125259778,False
ec:1.21.4.3,0.0007455499382128354,200,0.04975124378109453,0.8516909125259778,False
ec:1.1.1.106,0.0008396312332873176,200,0.05472636815920398,0.8516909125259778,False
ec:1.1.1.169,0.0008396312332873176,200,0.05472636815920398,0.8516909125259778,False
ec:1.13.99.1,0.0014717418698407558,200,0.05472636815920398,0.8516909125259778,False
ec:2.6.1.101,0.00079806765456471,200,0.05472636815920398,0.8516909125259778,False
ec:2.6.1.50,0.00079806765456471,200,0.05472636815920398,0.8516909125259778,False
ec:2.7.1.169,0.0008396312332873176,200,0.05472636815920398,0.8516909125259778,False
ec:2.6.1.117,0.00079806765456471,200,0.05472636815920398,0.8516909125259778,False
ec:2.6.1.15,0.00079806765456471,200,0.05472636815920398,0.8516909125259778,False
ec:2.6.1.100,0.00079806765456471,200,0.05472636815920398,0.8516909125259778,False
ec:1.3.1.15,0.001472404355806874,200,0.05472636815920398,0.8516909125259778,False
ec:1.3.5.2,0.001472404355806874,200,0.05472636815920398,0.8516909125259778,False
ec:1.3.1.14,0.001472404355806874,200,0.05472636815920398,0.8516909125259778,False
ec:1.4.1.1,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:2.3.1.29,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:4.1.3.14,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:1.4.1.10,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:2.3.1.13,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:2.6.1.35,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:1.5.1.22,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:6.3.2.3,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:1.4.2.1,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:1.4.99.5,0.000829321586017399,200,0.05970149253731343,0.8516909125259778,False
ec:3.2.1.31,0.0007474649825765942,200,0.06467661691542288,0.8516909125259778,False
ec:3.1.1.19,0.0007474649825765942,200,0.06467661691542288,0.8516909125259778,False
ec:2.7.1.43,0.0007474649825765942,200,0.06467661691542288,0.8516909125259778,False
ec:3.2.1.56,0.0007474649825765942,200,0.06467661691542288,0.8516909125259778,False
ec:5.3.1.12,0.0007474649825765942,200,0.06467661691542288,0.8516909125259778,False
ec:3.2.1.167,0.0007474649825765942,200,0.06467661691542288,0.8516909125259778,False
ec:3.2.1.139,0.0007474649825765942,200,0.06467661691542288,0.8516909125259778,False
ec:1.1.1.203,0.0007474649825765942,200,0.06467661691542288,0.8516909125259778,False
ec:1.14.18.5,0.0008007403013127607,200,0.06965174129353234,0.8516909125259778,False
ec:1.1.1.102,0.0008007403013127607,200,0.06965174129353234,0.8516909125259778,False
ec:1.11.2.3,0.0008795223312078489,200,0.07462686567164178,0.8516909125259778,False
ec:2.1.1.156,0.002308481731769861,200,0.07462686567164178,0.8516909125259778,False
ec:1.1.1.19,0.0014297119187030147,200,0.07960199004975124,0.8516909125259778,False
ec:2.1.4.1,0.003159971859852474,200,0.0845771144278607,0.8516909125259778,False
ec:2.1.1.162,0.003047697876544064,200,0.08955223880597014,0.8516909125259778,False
ec:4.2.1.6,0.0007665034084477738,200,0.0945273631840796,0.8516909125259778,False
ec:1.3.98.1,0.002215880987553953,200,0.0945273631840796,0.8516909125259778,False
ec:1.14.15.7,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:2.7.8.24,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:3.1.1.49,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:4.2.1.31,0.0008501700592236364,200,0.0945273631840796,0.8516909125259778,False
ec:2.3.1.91,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:4.2.1.140,0.0007665034084477738,200,0.0945273631840796,0.8516909125259778,False
ec:3.1.1.8,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:2.8.2.6,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:3.7.1.23,0.0008501700592236364,200,0.0945273631840796,0.8516909125259778,False
ec:3.1.1.7,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:3.1.4.4,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:3.1.4.41,0.0007632504429873559,200,0.0945273631840796,0.8516909125259778,False
ec:3.5.1.107,0.0008501700592236364,200,0.0945273631840796,0.8516909125259778,False
