metabolite,mean_abs_ig
"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*",2.747105e-09
"bilirubin (E,E)*",2.7451454e-09
glyco-beta-muricholate**,2.7450087e-09
sphingomyelin (d18:2/23:1)*,2.7443734e-09
xanthine,2.7385e-09
N-lactoyl phenylalanine,2.7372136e-09
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),2.7342726e-09
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,2.7341933e-09
cyclo(leu-pro),2.7297173e-09
"N,N-dimethylalanine",2.7283322e-09
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",2.7251066e-09
1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,2.7238938e-09
1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)*,2.7201852e-09
6-bromotryptophan,2.7197835e-09
1-stearoyl-2-dihomo-linolenoyl-GPI (18:0/20:3n3 or 6)*,2.7143419e-09
sphinganine-1-phosphate,2.7127685e-09
beta-cryptoxanthin,2.7120433e-09
carnitine,2.7094782e-09
taurochenodeoxycholic acid 3-sulfate,2.7086873e-09
allantoin,2.7078317e-09
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),2.7069418e-09
3-sulfo-alanine,2.7035334e-09
1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*,2.69611e-09
glycodeoxycholate 3-sulfate,2.6957314e-09
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),2.695586e-09
O-acetylhomoserine,2.6953861e-09
1-oleoyl-GPE (18:1),2.6909943e-09
1-stearoyl-GPG (18:0),2.6900513e-09
N1-methyl-2-pyridone-5-carboxamide,2.6882245e-09
1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*,2.6832163e-09
tauroursodeoxycholate,2.6795373e-09
N2-methylguanosine,2.6729734e-09
indoleacetoylcarnitine*,2.671118e-09
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,2.6671034e-09
sphingadienine,2.6641251e-09
"5alpha-androstan-3alpha,17beta-diol 17-glucuronide",2.663147e-09
pregnenolone sulfate,2.6591807e-09
N-acetylglucosamine/N-acetylgalactosamine,2.6586677e-09
"N,N-dimethyl-5-aminovalerate",2.6585414e-09
1-linoleoyl-GPG (18:2)*,2.652075e-09
1-docosahexaenoylglycerol (22:6),2.6494889e-09
2-palmitoyl-GPC (16:0)*,2.649364e-09
sphingosine,2.6492772e-09
"1,2-dilinoleoyl-GPE (18:2/18:2)*",2.6471776e-09
isovalerate (i5:0),2.6440108e-09
"bilirubin (E,Z or Z,E)*",2.6425704e-09
indoleacetylglutamine,2.631424e-09
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",2.6282179e-09
pelargonate (9:0),2.6280718e-09
N-lactoyl tyrosine,2.6204485e-09
glucuronide of C12H22O4 (1)*,2.609539e-09
eicosenedioate (C20:1-DC)*,2.607056e-09
catechol glucuronide,2.6034757e-09
1-arachidonoyl-GPE (20:4n6)*,2.6025901e-09
guanosine,2.6003635e-09
isocitrate,2.5982578e-09
maleate,2.592226e-09
1-docosahexaenoyl-GPC (22:6)*,2.5879192e-09
glycochenodeoxycholate glucuronide (1),2.5870974e-09
inosine,2.58487e-09
2-stearoyl-GPI (18:0)*,2.5847398e-09
heptanoate (7:0),2.581208e-09
