target,rank,enzyme_id,score
severity_SevereVsOther,19,ec:2.3.1.14,1.4228500115864748e-06
severity_SevereVsOther,20,ec:3.1.3.6,1.3972252654413904e-06
severity_SevereVsOther,21,ec:2.1.4.1,1.3807119380167665e-06
severity_SevereVsOther,22,ec:2.1.1.162,1.370585725195735e-06
severity_SevereVsOther,23,ec:1.2.1.5,1.3427008186905191e-06
severity_SevereVsOther,24,ec:3.2.2.8,1.3347506520213582e-06
severity_SevereVsOther,25,ec:1.17.1.4,1.3273597637676702e-06
severity_SevereVsOther,26,ec:2.4.2.4,1.3262008720593303e-06
severity_SevereVsOther,27,ec:3.2.1.22,1.295057692772261e-06
severity_SevereVsOther,28,ec:1.3.1.3,1.287328435479652e-06
severity_SevereVsOther,29,ec:1.14.99.64,1.2833540163523768e-06
severity_SevereVsOther,30,ec:1.14.15.24,1.2833540163523768e-06
age_oldVsYoung,1,ec:3.5.1.24,4.76600290253793e-06
age_oldVsYoung,2,ec:2.4.2.1,4.412029009406951e-06
age_oldVsYoung,3,ec:3.2.2.1,3.9163593530282e-06
age_oldVsYoung,4,ec:2.8.2.14,3.838997567750944e-06
age_oldVsYoung,5,ec:3.1.3.5,3.837331983301294e-06
age_oldVsYoung,6,ec:1.2.1.3,3.5441207146968392e-06
age_oldVsYoung,7,ec:1.2.3.1,3.0717055307640217e-06
age_oldVsYoung,8,ec:2.6.1.1,2.8637771750710228e-06
age_oldVsYoung,9,ec:2.8.2.2,2.3814527757866944e-06
age_oldVsYoung,10,ec:3.1.6.2,2.3814527757866944e-06
age_oldVsYoung,11,ec:2.3.1.65,2.3499381241276974e-06
age_oldVsYoung,12,ec:1.4.3.2,2.3412520712401358e-06
age_oldVsYoung,13,ec:1.17.3.2,2.3023232992151395e-06
age_oldVsYoung,14,ec:2.4.2.2,2.2874488537080535e-06
age_oldVsYoung,15,ec:4.1.1.15,2.2665729954529725e-06
age_oldVsYoung,16,ec:1.3.1.3,1.989082662085076e-06
age_oldVsYoung,17,ec:3.1.3.6,1.974670778863019e-06
age_oldVsYoung,18,ec:2.5.1.48,1.920791939911702e-06
age_oldVsYoung,19,ec:2.1.4.1,1.909492006825594e-06
age_oldVsYoung,20,ec:2.3.1.14,1.8717672745714856e-06
age_oldVsYoung,21,ec:2.4.2.4,1.8622552614954342e-06
age_oldVsYoung,22,ec:1.17.1.4,1.8592631204702591e-06
age_oldVsYoung,23,ec:3.4.13.20,1.8388534211795524e-06
age_oldVsYoung,24,ec:6.3.2.11,1.8388534211795524e-06
age_oldVsYoung,25,ec:3.2.1.22,1.8226217417557765e-06
age_oldVsYoung,26,ec:3.2.2.8,1.818866216219262e-06
age_oldVsYoung,27,ec:2.1.1.162,1.784784123910242e-06
age_oldVsYoung,28,ec:1.14.99.64,1.7623225423073356e-06
age_oldVsYoung,29,ec:1.14.15.24,1.7623225423073356e-06
age_oldVsYoung,30,ec:1.2.1.5,1.6981901704735522e-06
