enzyme_id,enzyme_name,reaction_id,equation
ec:2.2.1.8,fluorothreonine transaldolase,R07247,
ec:1.1.1.103,L-threonine 3-dehydrogenase,R01465,
ec:5.1.1.6,threonine racemase,R01467,
ec:2.7.7.87,L-threonylcarbamoyladenylate synthase,R10463,
ec:2.7.1.177,L-threonine kinase,R06531,
ec:2.7.1.114,AMP---thymidine kinase,R01571,
ec:2.7.1.20,adenosine kinase,R00185,
ec:3.13.2.3,(R)-S-adenosyl-L-methionine hydrolase (adenosine-forming),R12098,
ec:3.13.2.1,adenosylhomocysteinase,R00192,
ec:2.5.1.153,adenosine tuberculosinyltransferase,R12669,
ec:4.1.1.42,carnitine decarboxylase,R02398,
ec:1.1.1.108,carnitine 3-dehydrogenase,R02395,
ec:1.14.11.1,gamma-butyrobetaine dioxygenase,R02397,
ec:2.3.1.7,carnitine O-acetyltransferase,R02396,
ec:3.5.99.7,1-aminocyclopropane-1-carboxylate deaminase,R00997,
ec:2.3.3.6,2-ethylmalate synthase,R00998,
ec:1.2.3.8,pyridoxal oxidase,R01709,Pyridoxal + Oxygen + H2O <=> 4-Pyridoxate + Hydrogen peroxide
ec:6.3.4.8,imidazoleacetate---phosphoribosyldiphosphate ligase,R04068,
ec:1.14.13.5,imidazoleacetate 4-monooxygenase,R04066,
ec:4.2.3.2,ethanolamine-phosphate phospho-lyase,R00748,
ec:3.1.4.62,phosphatidylethanolamine phospholipase C,R02052,"Phosphatidylethanolamine + H2O <=> 1,2-Diacyl-sn-glycerol + Ethanolamine phosphate"
ec:2.7.1.82,ethanolamine kinase,R01468,
ec:4.1.2.49,L-allo-threonine aldolase,R06171,L-Allothreonine <=> Glycine + Acetaldehyde
ec:1.13.11.20,cysteine dioxygenase,R00893,
ec:2.3.1.328,branched-chain 2-oxoacid:malonyl-[acyl-carrier protein] acyltransferase,R13437,
ec:2.1.1.281,phenylpyruvate C3-methyltransferase,R10431,
ec:2.6.1.70,aspartate---phenylpyruvate transaminase,R00695,
ec:2.1.4.3,L-arginine:L-lysine amidinotransferase,R12506,
ec:2.8.3.24,(R)-2-hydroxy-4-methylpentanoate CoA-transferase,R11462,
ec:2.1.1.123,[cytochrome-c]-methionine S-methyltransferase,R04717,
ec:1.13.11.4,"gentisate 1,2-dioxygenase",R02656,
ec:1.14.13.24,3-hydroxybenzoate 6-monooxygenase,R02589,
ec:4.1.1.62,gentisate decarboxylase,R02489,
ec:6.2.1.30,phenylacetate---CoA ligase,R02539,
ec:4.1.1.119,phenylacetate decarboxylase,R12504,
ec:2.4.2.28,S-methyl-5'-thioadenosine phosphorylase,R01402,
ec:2.7.8.37,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase,R10185,
ec:1.5.99.12,cytokinin dehydrogenase,R05708,
ec:3.2.2.16,methylthioadenosine nucleosidase,R01401,
ec:2.4.2.52,triphosphoribosyl-dephospho-CoA synthase,R09675,
ec:3.2.2.4,AMP nucleosidase,R00182,
ec:3.2.2.30,aminodeoxyfutalosine nucleosidase,R10668,
ec:2.4.99.17,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,R10220,
ec:1.13.11.23,"2,3-dihydroxyindole 2,3-dioxygenase",R00983,
ec:3.7.1.13,"2-hydroxy-6-oxo-6-(2-aminophenyl)hexa-2,4-dienoate hydrolase",R05365,
