enzyme_id,enzyme_name,reaction_id,equation
ec:3.1.1.49,sinapine esterase,R02381,
ec:2.7.8.24,phosphatidylcholine synthase,R05794,
ec:2.3.1.6,choline O-acetyltransferase,R01023,
ec:6.3.2.24,tyrosine---arginine ligase,R00735,
ec:6.1.1.1,tyrosine---tRNA ligase,R02918,
ec:1.3.1.43,arogenate dehydrogenase,R00732,
ec:1.3.1.78,arogenate dehydrogenase (NADP+),R00733,
ec:6.3.2.25,tubulin---tyrosine ligase,R04730,
ec:4.2.1.176,L-lyxonate dehydratase,R12761,
ec:3.2.1.139,alpha-glucuronidase,R01480,
ec:2.7.1.43,glucuronokinase,R01476,
ec:3.2.1.167,baicalin-beta-D-glucuronidase,R09533,
ec:3.1.2.17,(S)-methylmalonyl-CoA hydrolase,R02764,
ec:3.1.3.90,maltose 6'-phosphate phosphatase,R10486,
ec:2.7.1.175,maltokinase,R09945,
ec:4.2.1.69,cyanamide hydratase,R00778,
ec:3.5.3.16,methylguanidinase,R01589,
ec:3.5.3.4,allantoicase,R02422,
ec:3.5.3.22,proclavaminate amidinohydrolase,R05357,
ec:3.5.3.20,diguanidinobutanase,R01418,
ec:3.5.3.11,agmatinase,R01157,
ec:3.5.3.1,arginase,R00551,
ec:4.3.2.3,ureidoglycolate lyase,R00776,
ec:3.5.3.10,D-arginase,R02458,
ec:6.3.4.6,urea carboxylase,R00774,
ec:2.8.2.4,estrone sulfotransferase,R02350,
ec:4.1.3.30,methylisocitrate lyase,R00409,
ec:3.1.2.13,S-succinylglutathione hydrolase,R00499,
ec:3.5.1.96,succinylglutamate desuccinylase,R00411,
ec:3.1.2.3,succinyl-CoA hydrolase,R00407,
ec:2.8.3.2,oxalate CoA-transferase,R01559,
ec:1.14.11.57,L-proline trans-4-hydroxylase,R01252,
ec:1.2.1.24,succinate-semialdehyde dehydrogenase (NAD+),R00713,
ec:1.2.1.79,succinate-semialdehyde dehydrogenase (NADP+),R00714,
ec:2.1.3.8,lysine carbamoyltransferase,R01396,
ec:6.3.3.6,carbapenam-3-carboxylate synthase,R10556,
ec:2.3.1.103,sinapoylglucose---sinapoylglucose O-sinapoyltransferase,R00063,
ec:2.7.1.42,riboflavin phosphotransferase,R00550,
ec:1.1.5.9,"glucose 1-dehydrogenase (FAD, quinone)",R00305,
ec:1.1.1.118,glucose 1-dehydrogenase (NAD+),R00300,
ec:1.1.3.10,pyranose oxidase,R00302,
ec:3.1.6.3,glycosulfatase,R00534,
ec:3.1.3.58,sugar-terminal-phosphatase,R00303,
ec:3.1.1.33,6-acetylglucose deacetylase,R00327,
ec:3.2.1.42,GDP-glucosidase,R00337,
ec:2.3.1.90,beta-glucogallin O-galloyltransferase,R00049,
ec:2.6.1.117,L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase,R12507,
ec:2.6.1.15,glutamine---pyruvate transaminase,R00576,
ec:2.6.1.101,"L-glutamine:3-amino-2,3-dideoxy-scyllo-inosose aminotransferase",R08891,
ec:2.6.1.50,glutamine---scyllo-inositol transaminase,R02781,
ec:2.6.1.100,L-glutamine:2-deoxy-scyllo-inosose aminotransferase,R08890,
ec:2.4.2.9,uracil phosphoribosyltransferase,R00966,
ec:4.2.1.70,pseudouridylate synthase,R01055,
ec:4.1.1.66,uracil-5-carboxylate decarboxylase,R00973,
ec:2.5.1.53,uracilylalanine synthase,R03131,
ec:1.3.3.7,dihydrouracil oxidase,R00975,
ec:2.4.2.19,nicotinate-nucleotide diphosphorylase (carboxylating),R03348,
ec:2.5.1.72,quinolinate synthase,R04292,
ec:1.1.99.42,4-pyridoxic acid dehydrogenase,R02993,
ec:3.1.1.27,4-pyridoxolactonase,R02992,
ec:4.2.1.6,galactonate dehydratase,R03033,
ec:1.21.4.3,sarcosine reductase,R07227,
ec:3.5.1.59,N-carbamoylsarcosine amidase,R01563,
ec:1.5.3.24,"sarcosine oxidase (5,10-methylenetetrahydrofolate-forming)",R12967,
ec:1.3.99.18,quinaldate 4-oxidoreductase,R03687,
ec:4.1.1.11,aspartate 1-decarboxylase,R00489,L-Aspartate <=> beta-Alanine + CO2
ec:6.3.2.23,homoglutathione synthase,R02741,
ec:1.5.1.26,beta-alanopine dehydrogenase,R00906,
ec:2.6.1.120,beta-alanine---2-oxoglutarate transaminase,R00908,
ec:3.5.2.3,dihydroorotase,R01993,
ec:4.1.1.23,orotidine-5'-phosphate decarboxylase,R00965,
ec:2.1.1.40,inositol 1-methyltransferase,R01188,
ec:2.1.1.129,inositol 4-methyltransferase,R01190,
ec:2.3.1.72,indoleacetylglucose---inositol O-acyltransferase,R04333,
ec:2.7.1.64,inositol 3-kinase,R07279,
ec:2.1.1.39,inositol 3-methyltransferase,R01189,
ec:1.1.1.18,inositol 2-dehydrogenase,R01183,
ec:2.7.8.11,CDP-diacylglycerol---inositol 3-phosphatidyltransferase,R01802,
ec:1.1.1.115,ribose 1-dehydrogenase (NADP+),R01079,
ec:2.1.1.158,7-methylxanthosine synthase,R07917,
ec:2.6.1.30,pyridoxamine---pyruvate transaminase,R01712,
ec:1.1.3.12,pyridoxine 4-oxidase,R01711,
ec:1.1.1.65,pyridoxine 4-dehydrogenase,R01708,
ec:2.6.1.31,pyridoxamine---oxaloacetate transaminase,R01713,
ec:1.1.1.107,pyridoxal 4-dehydrogenase,R01707,
ec:2.7.1.83,pseudouridine kinase,R03315,
ec:3.1.3.96,pseudouridine 5'-phosphatase,R11180,
ec:1.1.1.45,L-gulonate 3-dehydrogenase,R02640,
ec:1.1.1.380,L-gulonate 5-dehydrogenase,R10848,
ec:2.3.1.44,N-acetylneuraminate 4-O-acetyltransferase,R01806,
