enzyme_id,n_perms,null_mean,null_std,null_p95,null_max
ec:1.5.1.2,200,0.0006833512485470062,5.2899493249596017e-05,0.0007786795859256009,0.0008283368572130206
ec:4.2.1.172,200,0.0006833512485470062,5.2899493249596017e-05,0.0007786795859256009,0.0008283368572130206
ec:1.5.5.2,200,0.0006833512485470062,5.2899493249596017e-05,0.0007786795859256009,0.0008283368572130206
ec:2.3.1.226,200,0.0013982802756831764,7.440896794608228e-05,0.001526386567395827,0.0016262806005522905
ec:1.2.1.88,200,0.0022428621219355675,7.970173504990692e-05,0.0023692960313424984,0.002459268905103946
ec:6.3.1.9,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:1.5.99.6,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:3.5.3.24,200,0.0014669919698496897,7.561340185165529e-05,0.0015961890311734118,0.0017124303212830885
ec:1.5.3.14,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:2.5.1.79,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:2.5.1.22,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:6.3.1.8,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:2.3.1.248,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:2.5.1.45,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:2.5.1.44,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:1.5.3.17,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:3.5.1.78,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:1.5.3.16,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:3.5.1.48,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:1.5.3.13,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:4.1.1.96,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:2.5.1.16,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:2.5.1.46,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:2.5.1.128,200,0.0007544364398664069,5.433582696415131e-05,0.0008443386586637967,0.0009199284964535375
ec:1.2.3.1,200,0.004903637687232151,0.00021680594094907892,0.005286796111907372,0.005798744109181711
ec:2.1.1.1,200,0.0014711675292134662,8.073500464285783e-05,0.0016330719321988097,0.0017192474635943662
ec:1.2.1.3,200,0.0057021365902152855,0.0001827607035676608,0.005999871377006167,0.006239793524193306
ec:2.1.1.4,200,0.0006271934881558269,7.510962876005638e-05,0.0007501937506068899,0.0008643154000801389
ec:1.4.1.2,200,0.0015253110633429892,7.283822724975025e-05,0.0016449181151663792,0.00171077914385997
ec:3.5.1.3,200,0.0014784655694243525,5.7878322805933484e-05,0.001572339817536796,0.0016417702129688534
ec:1.4.3.15,200,0.0007650087813430593,4.243068742684842e-05,0.0008375961131794419,0.0009013153862308694
ec:1.2.1.26,200,0.0007650087813430593,4.243068742684842e-05,0.0008375961131794419,0.0009013153862308694
ec:1.4.3.7,200,0.0007650087813430593,4.243068742684842e-05,0.0008375961131794419,0.0009013153862308694
ec:1.1.1.42,200,0.0016231546956519721,5.70592942836719e-05,0.0017142262991064487,0.0018089501838867766
ec:1.4.7.1,200,0.0015253110633429892,7.283822724975025e-05,0.0016449181151663792,0.00171077914385997
ec:2.6.1.4,200,0.0015191419354527685,5.584003870946277e-05,0.0016196178809487292,0.0016617365586016418
ec:3.5.1.111,200,0.0014784655694243525,5.7878322805933484e-05,0.001572339817536796,0.0016417702129688534
ec:1.4.1.14,200,0.0015253110633429892,7.283822724975025e-05,0.0016449181151663792,0.00171077914385997
ec:4.1.1.71,200,0.0007650087813430593,4.243068742684842e-05,0.0008375961131794419,0.0009013153862308694
ec:1.1.99.2,200,0.0014410292505885347,6.790829227251809e-05,0.0015506527788090212,0.0016423678392463875
ec:2.6.1.2,200,0.0015253110633429892,7.283822724975025e-05,0.0016449181151663792,0.00171077914385997
ec:2.6.1.1,200,0.004636654257613721,0.00013181782024252606,0.004868564885294513,0.00502499417452946
ec:2.6.1.36,200,0.0007650087813430593,4.243068742684842e-05,0.0008375961131794419,0.0009013153862308694
ec:1.4.1.3,200,0.0015253110633429892,7.283822724975025e-05,0.0016449181151663792,0.00171077914385997
ec:2.3.3.14,200,0.0007650087813430593,4.243068742684842e-05,0.0008375961131794419,0.0009013153862308694
ec:1.4.1.13,200,0.0015253110633429892,7.283822724975025e-05,0.0016449181151663792,0.00171077914385997
ec:1.4.1.4,200,0.0015253110633429892,7.283822724975025e-05,0.0016449181151663792,0.00171077914385997
ec:1.4.3.11,200,0.0015253110633429892,7.283822724975025e-05,0.0016449181151663792,0.00171077914385997
ec:2.2.1.5,200,0.0007650087813430593,4.243068742684842e-05,0.0008375961131794419,0.0009013153862308694
ec:2.6.1.44,200,0.0015191419354527685,5.584003870946277e-05,0.0016196178809487292,0.0016617365586016418
ec:2.6.1.63,200,0.0014171654363809465,6.083864855955305e-05,0.0015059363160849306,0.001579532556327701
ec:1.3.99.18,200,0.0006537232760685182,3.7804963019872227e-05,0.0007140045006326056,0.000772400573466079
ec:2.6.1.7,200,0.0014171654363809465,6.083864855955305e-05,0.0015059363160849306,0.001579532556327701
ec:1.14.99.2,200,0.0006537232760685182,3.7804963019872227e-05,0.0007140045006326056,0.000772400573466079
ec:3.1.2.4,200,0.0006979015780310005,5.026720777090351e-05,0.0007773888397810024,0.00091634812802431
ec:1.1.1.31,200,0.0006979015780310005,5.026720777090351e-05,0.0007773888397810024,0.00091634812802431
ec:2.8.3.13,200,0.0007339814211102625,5.100157139594582e-05,0.0008154832380308099,0.000893209359878637
ec:3.1.2.5,200,0.0007339814211102625,5.100157139594582e-05,0.0008154832380308099,0.000893209359878637
ec:2.8.3.25,200,0.002306472550674664,0.00013258336037711408,0.0025152521078064963,0.002737106650072916
ec:1.14.14.139,200,0.001475054238163373,9.459391066835975e-05,0.001624430506466167,0.0017720306268512328
ec:3.5.1.24,200,0.007717171371929165,0.00022746750770800145,0.008090686924698578,0.008443483472333342
ec:6.2.1.7,200,0.001475054238163373,9.459391066835975e-05,0.001624430506466167,0.0017720306268512328
ec:1.1.1.176,200,0.0007454673171252714,5.0911617032185235e-05,0.0008307312183989699,0.0009049608378592524
ec:3.1.2.27,200,0.001475054238163373,9.459391066835975e-05,0.001624430506466167,0.0017720306268512328
ec:1.1.1.159,200,0.0007454673171252714,5.0911617032185235e-05,0.0008307312183989699,0.0009049608378592524
ec:1.14.13.18,200,0.0007179392825187875,4.272416642823832e-05,0.0007911587749810195,0.0008336165879675154
ec:1.2.1.29,200,0.0015362983384745981,5.8430714974237646e-05,0.0016314029967703847,0.0016890808569764233
ec:4.1.1.83,200,0.0007179392825187875,4.272416642823832e-05,0.0007911587749810195,0.0008336165879675154
ec:1.2.1.5,200,0.002816960116505045,0.00012966436707368458,0.003028196883155972,0.0032935326160637465
ec:1.2.3.13,200,0.0014546848582838061,6.69977516042868e-05,0.0015710313884908182,0.0016640812073893823
ec:1.2.1.53,200,0.0007179392825187875,4.272416642823832e-05,0.0007911587749810195,0.0008336165879675154
ec:1.2.1.39,200,0.0015192006911265564,7.833069149270709e-05,0.0016433064750941073,0.0017315581807930676
ec:1.14.14.9,200,0.0007179392825187875,4.272416642823832e-05,0.0007911587749810195,0.0008336165879675154
ec:3.2.2.2,200,0.0015700806273399252,8.324966213005948e-05,0.0017063790995962178,0.0017893375286225316
ec:2.4.2.8,200,0.0023506242789105404,0.00011615217423429679,0.0025315647673849304,0.0026319070787395485
ec:3.2.2.1,200,0.0062018221985006014,0.00024371556430153612,0.0066199516233130815,0.006936390844761943
ec:2.4.2.1,200,0.006944621346470718,0.00026641582270364977,0.007375197577122788,0.007661717421736507
ec:1.17.3.2,200,0.0037201594059395604,0.00013749830840593605,0.003959838567372667,0.0040863343527715
ec:2.4.2.44,200,0.0007227528541105324,5.053096068567788e-05,0.0008107949818542677,0.0008585790411105562
ec:2.4.2.4,200,0.003047189360159509,0.00011512024302061822,0.0032308239682607752,0.003446302242039855
ec:1.17.1.4,200,0.0029984329850632507,0.00013912587328538688,0.0032462192404345658,0.0033386144779196866
ec:3.2.2.26,200,0.0007227528541105324,5.053096068567788e-05,0.0008107949818542677,0.0008585790411105562
