model,auc_mean,auc_std,acc_mean,f1_mean
LogReg_L1,0.5,0.0,0.27777777777777773,0.0
LogReg_L2,0.6083333333333333,0.1927865832122834,0.6388888888888888,0.7544973544973544
RandomForest,0.4604166666666667,0.1858118447964679,0.6944444444444443,0.8181818181818182
