fold,accuracy,auc,f1,precision,recall
1,0.6666666666666666,0.8,0.75,1.0,0.6
2,0.6666666666666666,0.6,0.8,0.8,0.8
3,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5
4,0.6666666666666666,0.75,0.6666666666666666,1.0,0.5
5,0.6666666666666666,0.875,0.75,0.75,0.75
6,0.5,0.75,0.5714285714285714,0.6666666666666666,0.5
mean,0.6388888888888888,0.7958333333333334,0.7007936507936509,0.8694444444444445,0.6083333333333333
std,0.06211299937499414,0.12282835810819731,0.07499895019001558,0.1362244426137692,0.12388390622765423
