fold,accuracy,auc,f1,precision,recall
1,0.6666666666666666,0.8,0.75,1.0,0.6
2,0.5,0.6,0.5714285714285714,1.0,0.4
3,0.6666666666666666,0.875,0.6666666666666666,1.0,0.5
4,1.0,1.0,1.0,1.0,1.0
5,0.8333333333333334,1.0,0.8571428571428571,1.0,0.75
6,0.6666666666666666,0.75,0.75,0.75,0.75
mean,0.7222222222222222,0.8375,0.7658730158730158,0.9583333333333334,0.6666666666666666
std,0.15713484026367724,0.14123709380565244,0.1361984309661152,0.09316949906249124,0.19507833184532708
